,update,insert,move
HdlIdDef-HdlModuleDec,6,,
HdlOp-InfixExpression_HdlIdDef-HdlIdDef,1,1.0,
HdlOp-InfixExpression_HdlIdDef-HdlOp-FunctionCall,9,9.0,
HdlOp-FunctionCall_HdlIdDef-HdlIdDef,1,,1.0
HdlStmAssign-HdlModuleDef,4,,2.0
HdlOp-FunctionCall_HdlIdDef-HdlOp-FunctionCall,4,,4.0
