,update,move,delete,insert
HdlStmAssign-HdlModuleDef,9.0,,5.0,8.0
HdlOp-InfixExpression_HdlStmAssign-HdlOp-MemberAccessing,5.0,,3.0,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlStmAssign,5.0,5.0,5.0,2.0
HdlOp-MemberAccessing_HdlStmAssign-HdlOp-InfixExpression,,3.0,,
HdlOp-InfixExpression_HdlStmAssign-HdlOp-InfixExpression,,,3.0,2.0
