,HdlDirection,HdlOp-PrefixExpression_HdlStmAssign,HdlOp-InfixExpression_HdlStmAssign,HdlAll,HdlOp-Assignment_HdlStmCase,HdlOp-MemberAccessing_HdlStmAssign,HdlOp-PARAMETRIZATION_HdlIdDef
update,1.0,3,1.0,,,1,
insert,,1,,1.0,3.0,1,1.0
