,HdlIdDef,HdlStmAssign,HdlStmIf,HdlStmProcess,HdlStmCase
insert,21,6,1.0,11,1.0
delete,9,11,4.0,3,3.0
update,6,48,50.0,10,8.0
move,8,2,,1,
